parent_name,parent_smiles,parent_inchi,metabolite_name,metabolite_smiles,metabolite_inchi,enzymes,fingerprint_similarity,reaction_types
Doxorubicinol,COC1=CC=CC2=C1C(=O)C1=C(C2=O)C(O)=C2CC(O)(C(O)CO)CC(OC3CC(N)C(O)C(C)O3)C2=C1O,NKZRZOVSJNSBFR-FEMMEMONSA-N,Doxorubicine hydroxyaglycone,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(CC(O)(C(=O)CO)CC3O)C(O)=C1C2=O,IBZGBXXTIGCACK-CWKPULSASA-N,,0.78,
Frovatriptan,CNC1CCC2=C(C1)C1=C(C=CC(C(N)=O)=C1)N2,"InChI=1S/C14H17N3O/c1-16-9-3-5-13-11(7-9)10-6-8(14(15)18)2-4-12(10)17-13/h2,4,6,9,16-17H,3,5,7H2,1H3,(H2,15,18)/t9-/m1/s1",desmethyl frovatriptan,N=C(O)C1=CC=C2NC3=C(CC(N)CC3)C2=C1,FPYHQGKIVXULKF-DDWIOCJRSA-N,,0.8,
Frovatriptan,CNC1CCC2=C(C1)C1=C(C=CC(C(N)=O)=C1)N2,"InChI=1S/C14H17N3O/c1-16-9-3-5-13-11(7-9)10-6-8(14(15)18)2-4-12(10)17-13/h2,4,6,9,16-17H,3,5,7H2,1H3,(H2,15,18)/t9-/m1/s1",Hydroxylated N-acetyl desmethyl frovatriptan,CC(=O)NC1CCC2NC3=C(O)C=C(C(N)=O)C=C3C2C1,CDCOGHQILPZANE-UHFFFAOYSA-N,,0.37,
Frovatriptan,CNC1CCC2=C(C1)C1=C(C=CC(C(N)=O)=C1)N2,"InChI=1S/C14H17N3O/c1-16-9-3-5-13-11(7-9)10-6-8(14(15)18)2-4-12(10)17-13/h2,4,6,9,16-17H,3,5,7H2,1H3,(H2,15,18)/t9-/m1/s1",N-acetyl desmethyl frovatriptan,CC(=O)NC1CCC2NC3=CC=C(C(N)=O)C=C3C2C1,CQIAKQMSTPQBAU-UHFFFAOYSA-N,,0.37,
Salbutamol,CC(C)(C)NCC(O)C1=CC(CO)=C(O)C=C1,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",Salbutamol 4-O-sulfate,CC(C)(C)NCC(O)C1=CC=C(OS(=O)(=O)O)C(CO)=C1,FPMLHYFHLRTRMB-UHFFFAOYSA-N,,0.68,
Ketoprofen,CC(C(=O)O)C1=CC(C(=O)C2=CC=CC=C2)=CC=C1,"InChI=1S/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)",Ketoprofen glucuronide,CC(C(=O)OC1OC(C(=O)O)C(O)C(O)C1O)C1=CC(C(=O)C2=CC=CC=C2)=CC=C1,PBTXSZZKPHBHMA-LYFYOZKASA-N,,0.43,
Metyrapone,CC(C)(C(=O)C1=CN=CC=C1)C1=CC=CN=C1,"InChI=1S/C14H14N2O/c1-14(2,12-6-4-8-16-10-12)13(17)11-5-3-7-15-9-11/h3-10H,1-2H3",Metyrapol,CC(C)(C1=CN=CC=C1)C(O)C1=CN=CC=C1,DDFNHFXLQJLFSX-UHFFFAOYSA-N,,0.5,
Cinacalcet,CC(NCCCC1=CC(C(F)(F)F)=CC=C1)C1=CC=CC2=CC=CC=C12,"InChI=1S/C22H22F3N/c1-16(20-13-5-10-18-9-2-3-12-21(18)20)26-14-6-8-17-7-4-11-19(15-17)22(23,24)25/h2-5,7,9-13,15-16,26H,6,8,14H2,1H3/t16-/m1/s1",Hydrocinnamic acid,O=C(O)CCC1=CC=CC=C1,XMIIGOLPHOKFCH-UHFFFAOYSA-N,,0.19,
Cinacalcet,CC(NCCCC1=CC(C(F)(F)F)=CC=C1)C1=CC=CC2=CC=CC=C12,"InChI=1S/C22H22F3N/c1-16(20-13-5-10-18-9-2-3-12-21(18)20)26-14-6-8-17-7-4-11-19(15-17)22(23,24)25/h2-5,7,9-13,15-16,26H,6,8,14H2,1H3/t16-/m1/s1",hydroxy-hydrocinnamic acid,O=C(O)CCC1=CC=CC(O)=C1,QVWAEZJXDYOKEH-UHFFFAOYSA-N,,0.18,
Balsalazide,O=C(O)CCNC(=O)C1=CC=C(N=NC2=CC=C(O)C(C(=O)O)=C2)C=C1,"InChI=1S/C17H15N3O6/c21-14-6-5-12(9-13(14)17(25)26)20-19-11-3-1-10(2-4-11)16(24)18-8-7-15(22)23/h1-6,9,21H,7-8H2,(H,18,24)(H,22,23)(H,25,26)/b20-19+",5-aminosalicylic acid,NC1=CC(C(=O)O)=C(O)C=C1,KBOPZPXVLCULAV-UHFFFAOYSA-N,NADPH azoreductase,0.54,
Balsalazide,O=C(O)CCNC(=O)C1=CC=C(N=NC2=CC=C(O)C(C(=O)O)=C2)C=C1,"InChI=1S/C17H15N3O6/c21-14-6-5-12(9-13(14)17(25)26)20-19-11-3-1-10(2-4-11)16(24)18-8-7-15(22)23/h1-6,9,21H,7-8H2,(H,18,24)(H,22,23)(H,25,26)/b20-19+",4-aminobenzoyl-(beta)-alanine,NC1=CC=C(C(=O)NCCC(=O)O)C=C1,VHAXWROFYVPXMZ-UHFFFAOYSA-N,,0.5,
Sulfamethoxazole,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,"InChI=1S/C10H11N3O3S/c1-7-6-10(12-16-7)13-17(14,15)9-4-2-8(11)3-5-9/h2-6H,11H2,1H3,(H,12,13)",5-Hydroxysulfamethoxazole,NC1=CC=C(S(=O)(=O)NC2=NOC(CO)=C2)C=C1,CECJOLRUXWTJHV-UHFFFAOYSA-N,,0.91,
Sulfamethoxazole,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,"InChI=1S/C10H11N3O3S/c1-7-6-10(12-16-7)13-17(14,15)9-4-2-8(11)3-5-9/h2-6H,11H2,1H3,(H,12,13)",N-acetylsulfamethoxazole,CC(=O)NC1=CC=C(S(=O)(=O)NC2=NOC(C)=C2)C=C1,GXPIUNZCALHVBA-UHFFFAOYSA-N,"Arylamine N-acetyltransferase 1, Arylamine N-acetyltransferase 2",0.88,
5-Hydroxysulfamethoxazole,NC1=CC=C(S(=O)(=O)NC2=NOC(CO)=C2)C=C1,CECJOLRUXWTJHV-UHFFFAOYSA-N,N4-Acetyl-5-OH-sulfamethoxazole,CC(=O)NC1=CC=C(S(=O)(=O)NC2=NOC(CO)=C2)C=C1,YKWZTWOYFWCVKH-UHFFFAOYSA-N,"Arylamine N-acetyltransferase 1, Arylamine N-acetyltransferase 2",0.89,
N-acetylsulfamethoxazole,CC(=O)NC1=CC=C(S(=O)(=O)NC2=NOC(C)=C2)C=C1,GXPIUNZCALHVBA-UHFFFAOYSA-N,N4-Acetyl-5-OH-sulfamethoxazole,CC(=O)NC1=CC=C(S(=O)(=O)NC2=NOC(CO)=C2)C=C1,YKWZTWOYFWCVKH-UHFFFAOYSA-N,,0.92,
Sulfamethoxazole N4-hydroxylamine,CC1=CC(NS(=O)(=O)C2=CC=C(NO)C=C2)=NO1,MJAMPGKHIZXVFJ-UHFFFAOYSA-N,Nitroso-sulfamethoxazole,CC1=CC(NS(=O)(=O)C2=CC=C(N=O)C=C2)=NO1,GHNQGDUYHCZZPT-UHFFFAOYSA-N,,0.92,
Glyburide,COC1=C(C(=O)NCCC2=CC=C(S(=O)(=O)NC(=O)NC3CCCCC3)C=C2)C=C(Cl)C=C1,"InChI=1S/C23H28ClN3O5S/c1-32-21-12-9-17(24)15-20(21)22(28)25-14-13-16-7-10-19(11-8-16)33(30,31)27-23(29)26-18-5-3-2-4-6-18/h7-12,15,18H,2-6,13-14H2,1H3,(H,25,28)(H2,26,27,29)",3-trans-Hydroxycyclohexyl glyburide,COC1=C(C(O)=NCCC2=CC=C(S(=O)(=O)NC(O)=NC3CCCC(O)C3)C=C2)C=C(Cl)C=C1,,"Cytochrome P450 3A4, Cytochrome P450 2C9, Cytochrome P450 2C19, Cytochrome P450 3A7, Cytochrome P450 3A5",0.48,
Isosorbide mononitrate,O=[N+]([O-])OC1COC2C(O)COC12,"InChI=1S/C6H9NO6/c8-3-1-11-6-4(13-7(9)10)2-12-5(3)6/h3-6,8H,1-2H2/t3-,4+,5+,6+/m0/s1",Isosorbide,OC1COC2C(O)COC12,"InChI=1S/C6H10O4/c7-3-1-9-6-4(8)2-10-5(3)6/h3-8H,1-2H2/t3-,4+,5-,6-/m1/s1",,0.52,
Phylloquinone,CC(=CCC1=C(C)C(=O)C2=C(C=CC=C2)C1=O)CCCC(C)CCCC(C)CCCC(C)C,"InChI=1S/C31H46O2/c1-22(2)12-9-13-23(3)14-10-15-24(4)16-11-17-25(5)20-21-27-26(6)30(32)28-18-7-8-19-29(28)31(27)33/h7-8,18-20,22-24H,9-17,21H2,1-6H3/b25-20+/t23-,24-/m1/s1",Menatetrenone,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=C(C)C(=O)C2=CC=CC=C2C1=O,"InChI=1S/C31H40O2/c1-22(2)12-9-13-23(3)14-10-15-24(4)16-11-17-25(5)20-21-27-26(6)30(32)28-18-7-8-19-29(28)31(27)33/h7-8,12,14,16,18-20H,9-11,13,15,17,21H2,1-6H3/b23-14+,24-16+,25-20+",UbiA prenyltransferase domain-containing protein 1,0.96,
Felodipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1C1=C(Cl)C(Cl)=CC=C1,"InChI=1S/C18H19Cl2NO4/c1-5-25-18(23)14-10(3)21-9(2)13(17(22)24-4)15(14)11-7-6-8-12(19)16(11)20/h6-8,15,21H,5H2,1-4H3",dehydrofelodipine,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)=C1C1=C(Cl)C(Cl)=CC=C1,REQRUBNOOIAHMG-UHFFFAOYSA-N,Cytochrome P450 3A4,0.33,
Mycophenolic acid,COC1=C(CC=C(C)CCC(=O)O)C(O)=C2C(=O)OCC2=C1C,"InChI=1S/C17H20O6/c1-9(5-7-13(18)19)4-6-11-15(20)14-12(8-23-17(14)21)10(2)16(11)22-3/h4,20H,5-8H2,1-3H3,(H,18,19)/b9-4+",6-O-desmethyl-mycophenolic acid,CC(=CCC1=C(O)C(C)=C2COC(=O)C2=C1O)CCC(=O)O,MHSRNZSBNXFMLF-UHFFFAOYSA-N,"Cytochrome P450 2C8, Cytochrome P450 3A4, Cytochrome P450 3A5",0.91,
Mycophenolic acid,COC1=C(CC=C(C)CCC(=O)O)C(O)=C2C(=O)OCC2=C1C,"InChI=1S/C17H20O6/c1-9(5-7-13(18)19)4-6-11-15(20)14-12(8-23-17(14)21)10(2)16(11)22-3/h4,20H,5-8H2,1-3H3,(H,18,19)/b9-4+",Mycophenolic acid-7-O-glucuronide,COC1=C(CC=C(C)CCC(=O)O)C(OC2OC(C(=O)O)C(O)C(O)C2O)=C2C(=O)OCC2=C1C,BYFGTSAYQQIUCN-WTKPLQERSA-N,"UDP-glucuronosyltransferase 1-8, UDP-glucuronosyltransferase 1-10, UDP-glucuronosyltransferase 1-9, UDP-glucuronosyltransferase 1-7, UDP-glucuronosyltransferase 1-1",0.65,
Mycophenolic acid,COC1=C(CC=C(C)CCC(=O)O)C(O)=C2C(=O)OCC2=C1C,"InChI=1S/C17H20O6/c1-9(5-7-13(18)19)4-6-11-15(20)14-12(8-23-17(14)21)10(2)16(11)22-3/h4,20H,5-8H2,1-3H3,(H,18,19)/b9-4+",Mycophenolic acid-acyl glucuronide,COC1=C(C)C2=C(C(=O)OC2)C(O)=C1CC=C(C)CCC(=O)OC1OC(C(=O)O)C(O)C(O)C1O,QBMSTEZXAMABFF-UEARNRKISA-N,UDP-glucuronosyltransferase 2B7,0.72,
Irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,"InChI=1S/C25H28N6O/c1-2-3-10-22-26-25(15-6-7-16-25)24(32)31(22)17-18-11-13-19(14-12-18)20-8-4-5-9-21(20)23-27-29-30-28-23/h4-5,8-9,11-14H,2-3,6-7,10,15-17H2,1H3,(H,27,28,29,30)",SR 49498,CCCCC(O)=NC1(C(O)=NCC2=CC=C(C3=CC=CC=C3C3=NNN=N3)C=C2)CCCC1,PAKGYCNZUGIDHV-UHFFFAOYSA-N,Prostaglandin G/H synthase 1,0.5,
Irbesartan derivative M4,CC(O)CCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,YASLDPAAWWZGIP-UHFFFAOYSA-N,Irbesartan derivative M1,CC(O)CCC1=NC2(CCC(O)C2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,LIDZWACDVHJFLD-UHFFFAOYSA-N,Cytochrome P450 2C9,0.94,
Irbesartan derivative M4,CC(O)CCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,YASLDPAAWWZGIP-UHFFFAOYSA-N,Irbesartan derivative M6,CC(=O)CCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,MIGTZGLTQNODIS-UHFFFAOYSA-N,,0.97,
Irbesartan derivative M1,CC(O)CCC1=NC2(CCC(O)C2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,LIDZWACDVHJFLD-UHFFFAOYSA-N,Irbesartan derivative M2,CC(=O)CCC1=NC2(CCC(O)C2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,VYPCFUKCQSQGKN-UHFFFAOYSA-N,,0.98,
Irbesartan derivative M6,CC(=O)CCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,MIGTZGLTQNODIS-UHFFFAOYSA-N,Irbesartan derivative M2,CC(=O)CCC1=NC2(CCC(O)C2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,VYPCFUKCQSQGKN-UHFFFAOYSA-N,,0.93,
Mercaptopurine,S=C1N=CNC2=C1NC=N2,"InChI=1S/C5H4N4S/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",6-Thioinosine 5'-monophosphate,O=P(O)(O)OCC1OC(N2C=NC3=C2N=CN=C3S)C(O)C1O,ZKRFOXLVOKTUTA-KQYNXXCUSA-N,Hypoxanthine-guanine phosphoribosyltransferase,0.19,
Mercaptopurine,S=C1N=CNC2=C1NC=N2,"InChI=1S/C5H4N4S/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",8-hydroxythioguanine,OC1=NC2=C(N1)C(=S)N=CN2,OIZCDCVIFRRJFF-UHFFFAOYSA-N,Aldehyde oxidase,0.73,
6-Thioinosine 5'-monophosphate,O=P(O)(O)OCC1OC(N2C=NC3=C2N=CN=C3S)C(O)C1O,ZKRFOXLVOKTUTA-KQYNXXCUSA-N,Thioxanthine monophosphate,O=P(O)(O)OCC1OC(N2C=NC3=C2N=C(O)N=C3S)C(O)C1O,WMRIOGFRJLQENF-UUOKFMHZSA-N,GMP synthase [glutamine-hydrolyzing],0.93,
6-Thioinosine 5'-monophosphate,O=P(O)(O)OCC1OC(N2C=NC3=C2N=CN=C3S)C(O)C1O,ZKRFOXLVOKTUTA-KQYNXXCUSA-N,Methyl-thioinosine 5'-monophospate,CSC1=NC=NC2=C1N=CN2C1OC(COP(=O)(O)O)C(O)C1O,BMYFUCYXRGTQQL-IOSLPCCCSA-N,Thiopurine S-methyltransferase,0.96,
6-Thioinosine 5'-monophosphate,O=P(O)(O)OCC1OC(N2C=NC3=C2N=CN=C3S)C(O)C1O,ZKRFOXLVOKTUTA-KQYNXXCUSA-N,6-Mercaptopurine riboside,OCC1OC(N2C=NC3=C2N=CN=C3S)C(O)C1O,NKGPJODWTZCHGF-KQYNXXCUSA-N,,0.93,
Thioxanthine monophosphate,O=P(O)(O)OCC1OC(N2C=NC3=C2N=C(O)N=C3S)C(O)C1O,WMRIOGFRJLQENF-UUOKFMHZSA-N,Thioguanosine monophosphate,NC1=NC(=S)C2=C(N1)N(C1OC(COP(=O)(O)O)C(O)C1O)C=N2,BPZXYEUJBFHASJ-UUOKFMHZSA-N,GMP synthase [glutamine-hydrolyzing],0.79,
6-Mercaptopurine riboside,OCC1OC(N2C=NC3=C2N=CN=C3S)C(O)C1O,NKGPJODWTZCHGF-KQYNXXCUSA-N,6-Methylmercaptopurine-riboside,CSC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O,ZDRFDHHANOYUTE-IOSLPCCCSA-N,Thiopurine S-methyltransferase,0.96,
6-Methylmercaptopurine-riboside,CSC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O,ZDRFDHHANOYUTE-IOSLPCCCSA-N,Methyl-thioinosine 5'-monophospate,CSC1=NC=NC2=C1N=CN2C1OC(COP(=O)(O)O)C(O)C1O,BMYFUCYXRGTQQL-IOSLPCCCSA-N,Adenosine kinase,0.93,
Procainamide,CCN(CC)CCNC(=O)C1=CC=C(N)C=C1,"InChI=1S/C13H21N3O/c1-3-16(4-2)10-9-15-13(17)11-5-7-12(14)8-6-11/h5-8H,3-4,9-10,14H2,1-2H3,(H,15,17)",N-Acetyl-3-hydroxyprocainamide,CCN(CC)CCN=C(O)C1=CC(O)=C(N=C(C)O)C=C1,REELIONXYPAEGO-UHFFFAOYSA-N,Cytochrome P450 2D6,0.22,
Tolterodine,CC1=CC(C(CCN(C(C)C)C(C)C)C2=CC=CC=C2)=C(O)C=C1,"InChI=1S/C22H31NO/c1-16(2)23(17(3)4)14-13-20(19-9-7-6-8-10-19)21-15-18(5)11-12-22(21)24/h6-12,15-17,20,24H,13-14H2,1-5H3/t20-/m1/s1",N-Dealkylated tolterodine,CC1=CC(C(CCNC(C)C)C2=CC=CC=C2)=C(O)C=C1,CPLYUIYTJCFQJD-KRWDZBQOSA-N,"Cytochrome P450 2C9, Cytochrome P450 2C19, Cytochrome P450 3A4",0.95,
Tolterodine,CC1=CC(C(CCN(C(C)C)C(C)C)C2=CC=CC=C2)=C(O)C=C1,"InChI=1S/C22H31NO/c1-16(2)23(17(3)4)14-13-20(19-9-7-6-8-10-19)21-15-18(5)11-12-22(21)24/h6-12,15-17,20,24H,13-14H2,1-5H3/t20-/m1/s1",5-Hydroxymethyl tolterodine,CC(C)N(CCC(C1=CC=CC=C1)C1=C(O)C=CC(CO)=C1)C(C)C,DUXZAXCGJSBGDW-FQEVSTJZSA-N,Cytochrome P450 2D6,0.92,
N-Dealkylated tolterodine,CC1=CC(C(CCNC(C)C)C2=CC=CC=C2)=C(O)C=C1,CPLYUIYTJCFQJD-KRWDZBQOSA-N,N-Dealkylated 5-hydroxymethyl tolterodine,CC(C)NCCC(C1=CC=CC=C1)C1=C(O)C=CC(CO)=C1,CCZYBOXFQXWQIF-QGZVFWFLSA-N,,0.91,
5-Hydroxymethyl tolterodine,CC(C)N(CCC(C1=CC=CC=C1)C1=C(O)C=CC(CO)=C1)C(C)C,DUXZAXCGJSBGDW-FQEVSTJZSA-N,N-Dealkylated 5-hydroxymethyl tolterodine,CC(C)NCCC(C1=CC=CC=C1)C1=C(O)C=CC(CO)=C1,CCZYBOXFQXWQIF-QGZVFWFLSA-N,,0.95,
5-Hydroxymethyl tolterodine,CC(C)N(CCC(C1=CC=CC=C1)C1=C(O)C=CC(CO)=C1)C(C)C,DUXZAXCGJSBGDW-FQEVSTJZSA-N,5-Carboxylic acid tolterodine,CC(C)N(CCC(C1=CC=CC=C1)C1=C(O)C=CC(C(=O)O)=C1)C(C)C,NKTNTJFTBRPQIZ-LJQANCHMSA-N,,0.9,
Thalidomide,O=C1CCC(N2C(=O)C3=CC=CC=C3C2=O)C(=O)N1,"InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)","cis, trans-5'-Hydroxythalidomide",O=C1NC(=O)C(N2C(=O)C3=CC=CC=C3C2=O)CC1O,HHTOWVWIVBSOKC-UHFFFAOYSA-N,Cytochrome P450 2C19,0.88,
Thalidomide,O=C1CCC(N2C(=O)C3=CC=CC=C3C2=O)C(=O)N1,"InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)",Thalidomide arene oxide,O=C1N=C(O)CCC1N1C(=O)C2=CC3OC3C=C2C1=O,MNALUCRLHVMELD-UHFFFAOYSA-N,"Cytochrome P450 1A1, Cytochrome P450 1A2, Cytochrome P450 2C19, Cytochrome P450 2E1",0.35,
Thalidomide,O=C1CCC(N2C(=O)C3=CC=CC=C3C2=O)C(=O)N1,"InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)",4-phthalimidoglutaramic acid,NC(=O)C(CCC(=O)O)N1C(=O)C2=C(C=CC=C2)C1=O,CUBMYGDAHSAJPJ-UHFFFAOYSA-N,,0.84,
Thalidomide,O=C1CCC(N2C(=O)C3=CC=CC=C3C2=O)C(=O)N1,"InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)",2-phthalimidoglutaramic acid,NC(=O)CCC(C(=O)O)N1C(=O)C2=C(C=CC=C2)C1=O,JMKLVQRQCLMCIN-UHFFFAOYSA-N,,0.73,
Thalidomide,O=C1CCC(N2C(=O)C3=CC=CC=C3C2=O)C(=O)N1,"InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)",alpha-(o-carboxybenzamido)glutarimide,O=C1CCC(NC(=O)C2=C(C(=O)O)C=CC=C2)C(=O)N1,QTUSGYNZYGYXIN-UHFFFAOYSA-N,,0.7,
Thalidomide,O=C1CCC(N2C(=O)C3=CC=CC=C3C2=O)C(=O)N1,"InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)",5-Hydroxythalidomide,O=C1CCC(N2C(=O)C3=C(C=C(O)C=C3)C2=O)C(=O)N1,LJBQRRQTZUJWRC-UHFFFAOYSA-N,Cytochrome P450 2C19,0.9,
alpha-(o-carboxybenzamido)glutarimide,O=C1CCC(NC(=O)C2=C(C(=O)O)C=CC=C2)C(=O)N1,QTUSGYNZYGYXIN-UHFFFAOYSA-N,2-(o-carboxybenzamido)glutaramic acid,NC(=O)CCC(NC(=O)C1=C(C(=O)O)C=CC=C1)C(=O)O,ZIMWCUUEMGFXNW-UHFFFAOYSA-N,,0.73,
Thalidomide arene oxide,O=C1N=C(O)CCC1N1C(=O)C2=CC3OC3C=C2C1=O,MNALUCRLHVMELD-UHFFFAOYSA-N,5-Hydroxythalidomide,O=C1CCC(N2C(=O)C3=C(C=C(O)C=C3)C2=O)C(=O)N1,LJBQRRQTZUJWRC-UHFFFAOYSA-N,,0.35,
2-phthalimidoglutaramic acid,NC(=O)CCC(C(=O)O)N1C(=O)C2=C(C=CC=C2)C1=O,JMKLVQRQCLMCIN-UHFFFAOYSA-N,2-phthalimidoglutaric acid,O=C(O)CCC(C(=O)O)N1C(=O)C2=C(C=CC=C2)C1=O,FEFFSKLJNYRHQN-UHFFFAOYSA-N,,0.93,
5-Hydroxythalidomide,O=C1CCC(N2C(=O)C3=C(C=C(O)C=C3)C2=O)C(=O)N1,LJBQRRQTZUJWRC-UHFFFAOYSA-N,"5,6-dihydroxythalidomide",O=C1CCC(N2C(=O)C3=CC(O)=C(O)C=C3C2=O)C(=O)N1,JBCNYDFXFUMCRO-UHFFFAOYSA-N,"Cytochrome P450 2C19, Cytochrome P450 2C9, Cytochrome P450 1A1",0.98,
4-phthalimidoglutaramic acid,NC(=O)C(CCC(=O)O)N1C(=O)C2=C(C=CC=C2)C1=O,CUBMYGDAHSAJPJ-UHFFFAOYSA-N,2-phthalimidoglutaric acid,O=C(O)CCC(C(=O)O)N1C(=O)C2=C(C=CC=C2)C1=O,FEFFSKLJNYRHQN-UHFFFAOYSA-N,,0.81,
4-phthalimidoglutaramic acid,NC(=O)C(CCC(=O)O)N1C(=O)C2=C(C=CC=C2)C1=O,CUBMYGDAHSAJPJ-UHFFFAOYSA-N,4-(o-carboxybenzamido)glutaramic acid,NC(=O)C(CCC(=O)O)NC(=O)C1=C(C(=O)O)C=CC=C1,JOAOKNHCUKCBBE-UHFFFAOYSA-N,,0.69,
2-phthalimidoglutaramic acid,NC(=O)CCC(C(=O)O)N1C(=O)C2=C(C=CC=C2)C1=O,JMKLVQRQCLMCIN-UHFFFAOYSA-N,2-(o-carboxybenzamido)glutaramic acid,NC(=O)CCC(NC(=O)C1=C(C(=O)O)C=CC=C1)C(=O)O,ZIMWCUUEMGFXNW-UHFFFAOYSA-N,,0.69,
alpha-(o-carboxybenzamido)glutarimide,O=C1CCC(NC(=O)C2=C(C(=O)O)C=CC=C2)C(=O)N1,QTUSGYNZYGYXIN-UHFFFAOYSA-N,Phthalic Acid,O=C(O)C1=CC=CC=C1C(=O)O,"InChI=1S/C8H6O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)(H,11,12)",,0.29,
2-(o-carboxybenzamido)glutaramic acid,NC(=O)CCC(NC(=O)C1=C(C(=O)O)C=CC=C1)C(=O)O,ZIMWCUUEMGFXNW-UHFFFAOYSA-N,L-Glutamine,NC(=O)CCC(N)C(=O)O,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",,0.2,
2-(o-carboxybenzamido)glutaramic acid,NC(=O)CCC(NC(=O)C1=C(C(=O)O)C=CC=C1)C(=O)O,ZIMWCUUEMGFXNW-UHFFFAOYSA-N,Phthalic Acid,O=C(O)C1=CC=CC=C1C(=O)O,"InChI=1S/C8H6O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)(H,11,12)",,0.31,
4-(o-carboxybenzamido)glutaramic acid,NC(=O)C(CCC(=O)O)NC(=O)C1=C(C(=O)O)C=CC=C1,JOAOKNHCUKCBBE-UHFFFAOYSA-N,Isoglutamine,NC(=O)C(N)CCC(=O)O,"InChI=1S/C5H10N2O3/c6-3(5(7)10)1-2-4(8)9/h3H,1-2,6H2,(H2,7,10)(H,8,9)/t3-/m0/s1",,0.2,
4-(o-carboxybenzamido)glutaramic acid,NC(=O)C(CCC(=O)O)NC(=O)C1=C(C(=O)O)C=CC=C1,JOAOKNHCUKCBBE-UHFFFAOYSA-N,Phthalic Acid,O=C(O)C1=CC=CC=C1C(=O)O,"InChI=1S/C8H6O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)(H,11,12)",,0.31,
2-(o-carboxybenzamido)glutaramic acid,NC(=O)CCC(NC(=O)C1=C(C(=O)O)C=CC=C1)C(=O)O,ZIMWCUUEMGFXNW-UHFFFAOYSA-N,2-(o-carboxybenzamido)glutaric acid,O=C(O)CCC(NC(=O)C1=C(C(=O)O)C=CC=C1)C(=O)O,QIWKCQDJZPRXNS-UHFFFAOYSA-N,,0.92,
