parent_name,parent_smiles,parent_inchi,metabolite_name,metabolite_smiles,metabolite_inchi,enzymes,fingerprint_similarity,reaction_type,generation
selegiline,C#CCN(C)C(C)CC1=CC=CC=C1,,Desmethylselegiline,C#CCNC(C)CC1=CC=CC=C1,,CYP2B6 (major); CYP2C19; CYP2D6; CYP1A2; CYP2C9; CYP3A4,0.83,N-dealkylation of acyclic tertiary amine,0
serotonin,NCCC1=CNC2=CC=C(O)C=C12,,,CCC1=CNC2=CC=C(O)C=C12,,CYP2B6 (major); CYP2C19; CYP2D6; CYP1A2; CYP2C9; CYP3A4,0.92,Unknown Reduction,0
sertindole,OC1=NCCN1CCN1CCC(C2=CN(C3=CC=C(F)C=C3)C3=CC=C(Cl)C=C23)CC1,,,OC1=NC(O)CN1CCN1CCC(C2=CN(C3=CC=C(F)C=C3)C3=CC=C(Cl)C=C23)CC1,,CYP2D6,0.94,Aliphatic Hydroxylation,0
sertindole,OC1=NCCN1CCN1CCC(C2=CN(C3=CC=C(F)C=C3)C3=CC=C(Cl)C=C23)CC1,,,FC1=CC=C(N2C=C(C3CCNCC3)C3=CC(Cl)=CC=C32)C=C1,,CYP2D6,0.88,N-dealkylation,0
sertraline,CNC1CCC(C2=CC=C(Cl)C(Cl)=C2)C2=CC=CC=C21,,N-desmethylsertraline,NC1CCC(C2=CC=C(Cl)C(Cl)=C2)C2=CC=CC=C21,,CYP1A2;CYP2A6;CYP2B6;CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4,0.91,N-desmethylation,0
sildenafil,CCCC1=NN(C)C2=C1N=C(C1=CC(S(=O)(=O)N3CCN(C)CC3)=CC=C1OCC)NC2=O,,N-Desmethyl sildenafil,CCCC1=NN(C)C2=C1N=C(C1=CC([SH](=O)=O)=CC=C1OCC)NC2=O,,CYP3A4; CYP2C9; CYP2C19; CYP2D6,0.9,N-dealkylation of sulfonamide,0
simvastatin,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,,6'-ÃŽÂ²-Hydroxysimvastatin ,CCC(C)(C)C(=O)OC1CC(C)(O)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,,CYP3A4; CYP3A5,0.91,Allylic hydroxylation,0
simvastatin,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,,"3', 5'-Dihydrodiol",CCC(C)(C)C(=O)OC1CC(C)C(O)C2=CC(O)C(C)C(CCC3CC(O)CC(=O)O3)C21,,CYP3A4; CYP3A5,0.75,"Aliphatic hydroxylation of acyclic 1,2-disubstituted alkene",0
simvastatin,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,,6'-exomethylene,C=C1C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C2C(OC(=O)C(C)(C)CC)C1,,CYP3A4; CYP3A5,0.93,Terminal desaturation,0
sirolimus,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,,16-O-Desmethylsirolimus,COC1CC(CC(C)C2CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C(C)C(O)CC3CCC(C)C(O)(O3)C(=O)C(=O)N3CCCCC3C(=O)O2)CCC1O,,CYP3A4,0.98,O-dealkylation of dialkylether,0
sirolimus,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,,12-OH-sirolimus,COC1CC2CC(O)C(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,,CYP3A4,0.97,Hydroxylation of heteroalicyclic secondary carbon,0
sirolimus,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,,11-OH-sirolimus,COC1CC2CCC(C)(O)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,,CYP3A4,0.93,Hydroxylation of alkyl methine,0
sirolimus,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,,25-OH-sirolimus,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)(O)CC(C)C=CC=CC=C1C,,CYP3A4,0.97,Hydroxylation of alkyl methine,0
sirolimus,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,,24-OH-sirolimus,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)C(O)C(C)C=CC=CC=C1C,,CYP3A4,0.98,Hydroxylation of heteroalicyclic secondary carbon,0
sirolimus,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,,46-OH-sirolimus,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(CO)CC(C)C=CC=CC=C1C,,CYP3A4,0.99,Hydroxylation of terminal methyl,0
sparteine,C1CCN2CC3CC(CN4CCCCC34)C2C1,,,OC12CCCCN1CC1CC2CN2CCCCC12,,CYP2D6,0.53,Aliphatic Hydroxylation,0
sparteine,C1CCN2CC3CC(CN4CCCCC34)C2C1,,,OC1CCCC2C3CC(CN12)C1CCCCN1C3,,CYP2D6,0.71,Aliphatic Hydroxylation,0
sparteine,C1CCN2CC3CC(CN4CCCCC34)C2C1,,,OC1CCCN2CC3CC(CN4CCCCC34)C12,,CYP2D6,0.65,Aliphatic Hydroxylation,0
styrene,C=CC1=CC=CC=C1,,"Styrene 7,8-oxide",C1=CC=C(C2CO2)C=C1,,CYP2E1,0.23,EPOXIDATION_OF_12_DISUBSTITUTED_ALKLENE,0
sulfadiazine,NC1=CC=C(S(=O)(=O)NC2=NC=CC=N2)C=C1,,,O=S(=O)(NC1=NC=CC=N1)C1=CC=C(NO)C=C1,,CYP2B6;CYP2C8;CYP2C9;CYP2C19,0.93,Hydroxylation,0
tacrine,N=C1C2=C(CCCC2)NC2=CC=CC=C12,,N4-hydroxylamine,N=C1C2=C(CCCC2O)NC2=CC=CC=C12,,CYP1A2,0.82,Hydroxylation of alicyclic secondary carbon,0
tacrine,N=C1C2=C(CCCC2)NC2=CC=CC=C12,,4- Hydroxytacrine,NC1=C2CCCC(O)C2=NC2=CC=CC=C12,,CYP1A2,0.57,Hydroxylation of alicyclic secondary carbon,0
tacrine,N=C1C2=C(CCCC2)NC2=CC=CC=C12,,2-Hydroxytacrine,N=C1C2=C(CCC(O)C2)NC2=CC=CC=C12,,CYP1A2,0.88,Hydroxylation of alicyclic secondary carbon,0
tacrine,N=C1C2=C(CCCC2)NC2=CC=CC=C12,,7-Hydroxytacrine,NC1=C2CCCCC2=NC2=C(O)C=CC=C12,,CYP1A2,0.58,Aromatic hydroxylation of fused benzene ring,0
tamarixetin,COC1=CC=C(C2=C(O)C(=O)C3=C(O)C=C(O)C=C3O2)C=C1O,,QUERCETIN,O=C1C(O)=C(C2=CC=C(O)C(O)=C2)OC2=CC(O)=CC(O)=C12,,CYP1A2;CYP2C9;CYP3A4,0.97,O-dealkylation,0
tamoxifen,CCC(=C(C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,,4'-Hydroxytamoxifen,CCC(=C(C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=C(O)C=C1,,CYP2D6; CYP2B6,0.99,p-Hydroxylation of monosubstituted benzene,0
tamoxifen,CCC(=C(C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,,alpha-Hydroxytamoxifen,CC(O)C(=C(C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,,CYP3A4; CYP2D6; CYP2B6 (give smaller amounts of ÃŽÂ±-hydroxylation); CYP2C9  (give smaller amounts of ÃŽÂ±-hydroxylation); CYP2C19 (give smaller amounts of ÃŽÂ±-hydroxylation); CYP3A5 (give smaller amounts of ÃŽÂ±-hydroxylation),0.86,Hydroxylation of penultimate aliphatic secondary carbon,0
tamoxifen,CCC(=C(C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,,3-Hydroxytamoxifen,CCC(=C(C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC(O)=C1)C1=CC=CC=C1,,CYP3A4; CYP3A5; CYP2B6,0.89,m-Hydroxylation of monosubstituted benzene,0
tamsulosin,CCOC1=CC=CC=C1OCCNC(C)CC1=CC=C(OC)C(S(N)(=O)=O)=C1,,,CCOC1=CC=C(O)C=C1OCCNC(C)CC1=CC=C(OC)C(S(N)(=O)=O)=C1,,CYP2D6,0.95,Aromatic Hydroxylation,0
tamsulosin,CCOC1=CC=CC=C1OCCNC(C)CC1=CC=C(OC)C(S(N)(=O)=O)=C1,,,CCOC1=CC=CC=C1OCCNC(C)CC1=CC=C(O)C(S(N)(=O)=O)=C1,,CYP2D6,0.94,O-Dementhylation,0
tamsulosin,CCOC1=CC=CC=C1OCCNC(C)CC1=CC=C(OC)C(S(N)(=O)=O)=C1,,,COC1=CC=C(CC(C)NCCOC2=CC=CC=C2O)C=C1S(N)(=O)=O,,CYP3A4,0.99,O-dealkylation,0
tangeretin,COC1=CC=C(C2=CC(=O)C3=C(OC)C(OC)=C(OC)C(OC)=C3O2)C=C1,,,COC1=CC=C(C2=CC(=O)C3=C(O)C(O)=C(OC)C(OC)=C3O2)C=C1,,CYP3A4,0.96,O-dealkylation,0
tauromustine,CN(C)S(=O)(=O)CCN=C(O)N(CCCl)N=O,,,CNS(=O)(=O)CCN=C(O)N(CCCl)N=O,,CYP1A2;CYP2C9;CYP2C19;CYP2D6;CYP3A4,0.94,N-Dealkylation,0
tauromustine,CN(C)S(=O)(=O)CCN=C(O)N(CCCl)N=O,,,CN(C)S(=O)(=O)CCNC(O)=NCCCl,,CYP1A2;CYP2C9;CYP2C19;CYP2D6;CYP3A4,0.47,Denitrosation,0
taxol,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)C2=CC=CC=C2)C2(O)CC(OC(=O)C(O)C(N=C(O)C3=CC=CC=C3)C3=CC=CC=C3)C(C)=C1C2(C)C,,6ÃŽÂ±-Hydroxypaclitaxel ,CC(=O)OC1C(=O)C2(C)C(O)C(O)C3OCC3(OC(C)=O)C2C(OC(=O)C2=CC=CC=C2)C2(O)CC(OC(=O)C(O)C(N=C(O)C3=CC=CC=C3)C3=CC=CC=C3)C(C)=C1C2(C)C,,CYP2C8,0.99,Hydroxylation of alicyclic secondary carbon,0
taxol,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)C2=CC=CC=C2)C2(O)CC(OC(=O)C(O)C(N=C(O)C3=CC=CC=C3)C3=CC=CC=C3)C(C)=C1C2(C)C,,3Ã¢â‚¬Â²-pHydroxypaclitaxel ,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)C2=CC=CC=C2)C2(O)CC(OC(=O)C(O)C(N=C(O)C3=CC=CC=C3)C3=CC=C(O)C=C3)C(C)=C1C2(C)C,,CYP3A4 ,0.98,p-Hydroxylation of monosubstituted benzene,0
tecalcet,COC1=CC=CC(C(C)NCCCC2=CC=CC=C2Cl)=C1,,,CC(NCCCC1=CC=CC=C1Cl)C1=CC=CC(O)=C1,,CYP2D6,0.88,O-Dementhylation,0
tegaserod,CCCCCNC(=N)NN=CC1=CNC2=CC=C(OC)C=C12,,,CCCCCNC(=N)NN=CC1=CNC2=CC=C(O)C=C12,,CYP1A2;CYP2D6,0.93,O-desmethylation,0
tenoxicam,CN1C(=C(O)NC2=CC=CC=N2)C(=O)C2=C(C=CS2)S1(=O)=O,,5'-Hydroxytenoxicam,CN1C(=C(O)NC2=CC=C(O)C=N2)C(=O)C2=C(C=CS2)S1(=O)=O,,CYP2C9,0.98,HYDROXYLATION_OF_HETEROAROMATIC_CARBON,0
tentoxin,CC(C)CC1N=C(O)C(C)N(C)C(=O)CN=C(O)C(=CC2=CC=CC=C2)N(C)C1=O,,,CC(C)CC1N=C(O)C(C)N(C)C(=O)CN=C(O)C(=CC2=CC=CC=C2)N=C1O,,CYP3A4,0.58,N-Dementhylation,0
territrem a,COC1=CC(C2=CC3=C(CC4(O)C(C)(CCC5(O)C(C)(C)C=CC(=O)C54C)O3)C(=O)O2)=CC2=C1OCO2,,,COC1=CC(C2=CC3=C(CC4(O)C(C)(CCC5(O)C(C)(CO)C=CC(=O)C54C)O3)C(=O)O2)=CC2=C1OCO2,,CYP2C9;CYP2D6;CYP3A4,0.99,Aliphatic Hydroxylation,0
testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,,2ÃŽÂ±-Hydroxytestosterone ,CC12CC(O)C(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,,CYP3A4 ,0.82,Alpha hydroxylation of carbonyl group,0
testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,,15ÃŽÂ±-Hydroxytestosterone ,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CC(O)C12,,CYP3A4,0.92,Hydroxylation of alicyclic secondary carbon,0
testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,,16ÃŽÂ±-Hydroxytestosterone ,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)C(O)CC12,,CYP3A4; CYP2B6 ,0.92,Hydroxylation of alicyclic secondary carbon,0
tetradecanoic acid,CCCCCCCCCCCCCC(=O)O,,,CC(O)CCCCCCCCCCCC(=O)O,,CYP2E1;CYP4A11,0.84,Aliphatic Hydroxylation,0
tetranor-(+)-s-145,O=C(O)CCC1C2CCC(C2)C1NS(=O)(=O)C1=CC=CC=C1,,,O=C(O)CCC1C2CC(O)C(C2)C1NS(=O)(=O)C1=CC=CC=C1,,CYP2C9,0.83,Aliphatic Hydroxylation,0
tetranor-(+)-s-145,O=C(O)CCC1C2CCC(C2)C1NS(=O)(=O)C1=CC=CC=C1,,,O=C(O)CCC1C2CC(CC2O)C1NS(=O)(=O)C1=CC=CC=C1,,CYP3A4,0.87,Aliphatic Hydroxylation,0
theobromine,CN1C=NC2=C1C(O)=NC(=O)N2C,,,CN1C=NC2=NC(O)=NC(O)=C21,,CYP1A2;CYP2E1,0.57,N-demethylation,0
theobromine,CN1C=NC2=C1C(O)=NC(=O)N2C,,,CN1C(=O)N=C(O)C2=C1NC=N2,,CYP2E1,0.87,N-demethylation,0
theobromine,CN1C=NC2=C1C(O)=NC(=O)N2C,,,CN1C(O)=NC2=C1C(O)=NC(=O)N2C,,CYP2E1,0.86,Aliphatic Hydroxylation,0
theophylline,CN1C(=O)C2=C(NC=N2)N(C)C1=O,,"1,3-Dimethyluric acid",CN1C(=O)C2=C(NC(O)=N2)N(C)C1=O,,CYP1A2; CYP1A1 ,0.87,HYDROXYLATION_OF_HETEROAROMATIC_CARBON; HYDROXYLATION_OF_AROMATIC_CARBON_ADJACENT_TO_N,0
theophylline,CN1C(=O)C2=C(NC=N2)N(C)C1=O,,1-Methylxanthine ,CN1C(O)=NC2=C(N=CN2)C1=O,,CYP1A2,0.58,N-dealkylation of N-acylurea,0
theophylline,CN1C(=O)C2=C(NC=N2)N(C)C1=O,,3-Methylxanthine ,CN1C(=O)N=C(O)C2=C1NC=N2,,CYP1A2,0.57,N-dealkylation of N-acylurea,0
thiabendazole,C1=CC=C2NC(C3=CSC=N3)=NC2=C1,,5-hydroxythiabendazole ,OC1=CC=C2N=C(C3=CSC=N3)NC2=C1,,CYP1A2,0.82,Aromatic hydroxylation of fused benzene ring,0
ticrynafen,O=C(O)COC1=CC=C(C(=O)C2=CC=CS2)C(Cl)=C1Cl,,Tienilic acid-s-oxide,O=C(O)COC1=CC=C(C(=O)C2=CC=CS2=O)C(Cl)=C1Cl,,CYP2C8; CYP2C9 (major),0.48,Thiohene S-oxidation,0
ticrynafen,O=C(O)COC1=CC=C(C(=O)C2=CC=CS2)C(Cl)=C1Cl,,"Thiophene-4,5-epoxide",O=C(O)COC1=CC=C(C(=O)C2=CC3OC3S2)C(Cl)=C1Cl,,CYP2C8; CYP2C9 (major); CYP2C18; CYP2C19,0.47,Epoxidation of thiophene,0
timolol,CC(C)(C)NCC(O)COC1=NSN=C1N1CCOCC1,,,CC(C)(C)NCC(O)COC1=NSN=C1N1CCOC(O)C1,,CYP2D6,0.92,Aliphatic Hydroxylation,0
tirilazad,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3=CCC2(C)C1C(=O)CN1CCN(C2=CC(N3CCCC3)=NC(N3CCCC3)=N2)CC1,,,CC1CC2C3CC(O)C4=CC(=O)C=CC4(C)C3=CCC2(C)C1C(=O)CN1CCN(C2=CC(N3CCCC3)=NC(N3CCCC3)=N2)CC1,,CYP3A4,0.9,Aliphatic Hydroxylation,0
tirilazad,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3=CCC2(C)C1C(=O)CN1CCN(C2=CC(N3CCCC3)=NC(N3CCCC3)=N2)CC1,,,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3=CCC2(C)C1C(=O)CN1CCN(C2=CC(N3CCCC3)=NC(N3CCC(O)C3)=N2)CC1,,CYP3A4,0.95,Aliphatic Hydroxylation,0
tirilazad,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3=CCC2(C)C1C(=O)CN1CCN(C2=CC(N3CCCC3)=NC(N3CCCC3)=N2)CC1,,,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3=CCC2(C)C1C(=O)CN1CCN(C2=CC(N3CCC(O)C3)=NC(N3CCCC3)=N2)CC1,,CYP3A4,0.94,Aliphatic Hydroxylation,0
tolbutamide,CCCCN=C(O)NS(=O)(=O)C1=CC=C(C)C=C1,,4-Hydroxytolbutamide,CCCCN=C(O)NS(=O)(=O)C1=CC=C(CO)C=C1,,CYP2C9; CYP2C19,0.94,Aliphatic hydroxylation of methyl carbon adjacent to aromatic ring,0
tolterodine,CC1=CC=C(O)C(C(CCN(C(C)C)C(C)C)C2=CC=CC=C2)=C1,,N-Dealkylated tolterodine,CC1=CC=C(O)C(C(CCNC(C)C)C2=CC=CC=C2)=C1,,CYP3A4 (major); CYP2C9 (minor); CYP2C19 (minor),0.95,N-deisopropylation,0
tolterodine,CC1=CC=C(O)C(C(CCN(C(C)C)C(C)C)C2=CC=CC=C2)=C1,,5-Hydroxymethyl tolterodine,CC(C)N(CCC(C1=CC=CC=C1)C1=CC(CO)=CC=C1O)C(C)C,,CYP2D6,0.92,Aliphatic hydroxylation of methyl carbon adjacent to aromatic ring,0
tozasertib,CC1=CC(=NC2=CC(N3CCN(C)CC3)=NC(SC3=CC=C(NC(=O)C4CC4)C=C3)=N2)NN1,,,CC1=CC(=NC2=CC(N3CC[N+](C)([O-])CC3)=NC(SC3=CC=C(NC(=O)C4CC4)C=C3)=N2)NN1,,CYP3A4,0.96,N-Oxidation,0
tozasertib,CC1=CC(=NC2=CC(N3CCN(C)CC3)=NC(SC3=CC=C(NC(=O)C4CC4)C=C3)=N2)NN1,,,CC1=CC(=NC2=CC(N3CCNCC3)=NC(SC3=CC=C(NC(=O)C4CC4)C=C3)=N2)NN1,,CYP2C8;CYP3A4,0.98,N-demethylation,0
tpa-023,CCN1N=CN=C1COC1=NN2C(C3=CC=CC=C3F)=NN=C2C=C1C(C)(C)C,,,CCN1N=CN=C1COC1=NN2C(C3=CC=CC=C3F)=NN=C2C=C1C(C)(C)CO,,CYP3A4,0.97,Aliphatic Hydroxylation,0
tpa-023,CCN1N=CN=C1COC1=NN2C(C3=CC=CC=C3F)=NN=C2C=C1C(C)(C)C,,,CC(C)(C)C1=CC2=NN=C(C3=CC=CC=C3F)N2N=C1OCC1=NNC=N1,,CYP3A4,0.94,N-demethylation,0
tramadol,COC1=CC=CC(C2(O)CCCCC2CN(C)C)=C1,,N-desmethyltramadol,CNCC1CCCCC1(O)C1=CC=CC(OC)=C1,,CYP1A2;CYP2B6;CYP2C9;CYP2C19;CYP2D6;CYP3A4,0.97,N-demethylation,0
tramadol,COC1=CC=CC(C2(O)CCCCC2CN(C)C)=C1,,O-desmethyl-tramadol,CN(C)CC1CCCCC1(O)C1=CC=CC(O)=C1,,CYP1A2;CYP2B6;CYP2C9;CYP2C19;CYP2D6;CYP3A4,0.93,O-demethylation,0
traxoprodil,CC(C(O)C1=CC=C(O)C=C1)N1CCC(O)(C2=CC=CC=C2)CC1,,,CC(C(O)C1=CC=C(O)C(O)=C1)N1CCC(O)(C2=CC=CC=C2)CC1,,CYP2D6,0.88,Aromatic Hydroxylation,0
trazodone,O=C1N(CCCN2CCN(C3=CC=CC(Cl)=C3)CC2)N=C2C=CC=CN12,,m-CPP,ClC1=CC=CC(N2CCNCC2)=C1,,CYP3A4,0.28,N-dealkylation of alicyclic tertiary amine,0
trazodone,O=C1N(CCCN2CCN(C3=CC=CC(Cl)=C3)CC2)N=C2C=CC=CN12,,p-Hydroxytrazodone,O=C1N(CCCN2CCN(C3=CC=C(O)C(Cl)=C3)CC2)N=C2C=CC=CN12,,CYP3A4,0.95,Hydroxylation of aromatic carbon ortho to halide group,0
trazodone,O=C1N(CCCN2CCN(C3=CC=CC(Cl)=C3)CC2)N=C2C=CC=CN12,,Trazodone epoxide,O=C1N(CCCN2CCN(C3=CC=CC(Cl)=C3)CC2)N=C2C3OC3C=CN21,,CYP3A4,0.47,EPOXIDATION_OF_12_DISUBSTITUTED_ALKLENE,0
triazolam,CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=CC(Cl)=CC=C3N12,,,OCC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=CC(Cl)=CC=C3N12,,CYP3A4,0.94,Aliphatic Hydroxylation,0
triazolam,CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=CC(Cl)=CC=C3N12,,,CC1=NN=C2C(O)N=C(C3=CC=CC=C3Cl)C3=CC(Cl)=CC=C3N12,,CYP3A4,0.89,Aliphatic Hydroxylation,0
trihydroxycoprostane,CC(C)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,,,CC(CCCC(C)(C)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,,CYP2B6;CYP2C19;CYP3A4,0.96,Aliphatic Hydroxylation,0
trimethadione,CN1C(=O)OC(C)(C)C1=O,,,CC1(C)OC(=O)N=C1O,,CYP2C8;CYP2C9;CYP2E1;CYP3A4,0.17,N-demethylation,0
tropisetron,CN1C2CCC1CC(OC(=O)C1=CNC3=CC=CC=C13)C2,,,CN1C2CCC1CC(OC(=O)C1=CNC3=CC=C(O)C=C13)C2,,CYP2D6,0.91,Aromatic Hydroxylation,0
tropisetron,CN1C2CCC1CC(OC(=O)C1=CNC3=CC=CC=C13)C2,,,CN1C2CCC1CC(OC(=O)C1=CNC3=CC(O)=CC=C13)C2,,CYP2D6,0.92,Aromatic Hydroxylation,0
tropisetron,CN1C2CCC1CC(OC(=O)C1=CNC3=CC=CC=C13)C2,,,O=C(OC1CC2CCC(C1)N2)C1=CNC2=CC=CC=C12,,CYP3A4,0.95,N-demethylation,0
tyramine,NCCC1=CC=C(O)C=C1,,,NCCC1=CC=C(O)C(O)=C1,,CYP2D6,0.68,Aromatic Hydroxylation,0
MK-429,COC1=CC=C(C(CC(=O)O)N2CCN(CCCC3=CC=C4CCCNC4=N3)C2=O)C=N1,,,O=C(O)CC(C1=CC=C(O)N=C1)N1CCN(CCCC2=CC=C3CCCNC3=N2)C1=O,,CYP2D6,0.97,O-Demethylation,0
MK-429,COC1=CC=C(C(CC(=O)O)N2CCN(CCCC3=CC=C4CCCNC4=N3)C2=O)C=N1,,,O=C(O)CC(C1=CC=C(O)N=C1)N1CCN(CCCC2=CC=C3CCC(O)NC3=N2)C1=O,,CYP2D6;CYP3A4,0.92,Aromatic Hydroxylation,0
MK-429,COC1=CC=C(C(CC(=O)O)N2CCN(CCCC3=CC=C4CCCNC4=N3)C2=O)C=N1,,,O=C(O)CC(C1=CC=C(O)N=C1)N1CCN(CCCC2=CC=C3C(=N2)NCCC3O)C1=O,,CYP2D6;CYP3A4,0.91,Aromatic Hydroxylation,0
(R)-(+)-Rebamipide,O=C(NC(CC1=CC(O)=NC2=CC=CC=C12)C(=O)O)C1=CC=C(Cl)C=C1,,8-Hydroxyrebamipide,O=C(NC(CC1=CC(O)=NC2=C(O)C=CC=C12)C(=O)O)C1=CC=C(Cl)C=C1,,CYP3A4,0.9,Aromatic Hydroxylation,0
(R)-(+)-Rebamipide,O=C(NC(CC1=CC(O)=NC2=CC=CC=C12)C(=O)O)C1=CC=C(Cl)C=C1,,6-Hydroxyrebamipide,O=C(NC(CC1=CC(O)=NC2=CC=C(O)C=C12)C(=O)O)C1=CC=C(Cl)C=C1,,CYP3A4,0.93,Aromatic Hydroxylation,0
"p-Methoxymethamphetamine, R-(-)-",CNC(C)CC1=CC=C(OC)C=C1,,HO-MA,CNC(C)CC1=CC=C(O)C=C1,,CYP2D6,0.86,O-Demethylation,0
(S)-Methylenedioxyethylamphetamine,CCNC(C)CC1=CC=C2OCOC2=C1,,"3,4-methylenedioxyamphetamine",CC(N)CC1=CC=C2OCOC2=C1,,CYP1A2;CYP2B6;CYP3A4,0.92,N-Dealylation,0
(S)-Methylenedioxyethylamphetamine,CCNC(C)CC1=CC=C2OCOC2=C1,,"N-methyl-3,4-methylenedioxyamphetamine",CCNC(C)CC1=CC=C(O)C(O)=C1,,CYP1A2;CYP2B6;CYP2C8;CYP2C9;CYP2D6;CYP2E1;CYP3A4,0.7,Demethylenation,0
unii-3es85mm31y,CCCOC1=CC=C(S(=O)(=O)N2CCN(CC)CC2)C=C1C1=NC2=C(CC)N(CC3=CC=CC=N3)N=C2C(=O)N1,,,CCCOC1=CC=C(S(=O)(=O)N2CCNCC2)C=C1C1=NC2=C(CC)N(CC3=CC=CC=N3)N=C2C(=O)N1,,CYP3A4,0.99,N-dealkylation,0
Fenproporex,CC(CC1=CC=CC=C1)NCCC#N,,amphetamine,CC(N)CC1=CC=CC=C1,,CYP1A2;CYP2B6;CYP2D6;CYP3A4,0.64,N-dealkylation,0
