parent_name,parent_smiles,metabolite_name,metabolite_smiles,enzymes,reaction_type,fingerprint_similarity
4-Hydroxy-alpha-thujone,CC(C)C12CC(=O)C(C)(O)C1C2,"alpha-thujone, 4-O-glucuronide",CC(C)C12CC1C(C)(O)C(=O)C2OC1OC(C(=O)O)C(O)C(O)C1O,UGT,Alkyl-OH glucuronidation,0.43
Scutellarein,O=C1C=C(C2=CC=C(O)C=C2)OC2=CC(O)=C(O)C(O)=C12,Scutellarein 7-O-glucuronide,O=C(O)C1OC(OC2=CC3=C(C(O)=C2O)C(=O)C=C(C2=CC=C(O)C=C2)O3)C(O)C(O)C1O,UGT,Alkyl-OH glucuronidation,0.61
Desogestrel,C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,Desogestrel 17-O-glucuronide,C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,UGT,O-glucuronidation,0.49
3-Iodobenzoic acid,O=C(O)C1=CC=CC(I)=C1,3-Iodobenzoyl glyucuronide,O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1=CC=CC(I)=C1,UGT,O-glucuronidation of aromatic acid,0.23
4-Iodobenzoic acid,O=C(O)C1=CC=C(I)C=C1,4-Iodobenzoyl glyucuronide,O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1=CC=C(I)C=C1,UGT,O-glucuronidation of aromatic acid,0.2
Oxoprenolol,C=CCOC1=CC=CC=C1OCC(O)CNC(C)C,Oxprenolol glucuronide,C=CCOC1=CC=CC=C1OCC(CNC(C)C)OC1OC(C(=O)O)C(O)C(O)C1O,UGT,Alkyl-OH glucuronidation,0.37
Zomepirac,CC1=C(C(=O)C2=CC=C(Cl)C=C2)N(C)C(CC(=O)O)=C1,Zomepirac O-glucuronide,CC1=C(C(=O)C2=CC=C(Cl)C=C2)N(C)C(CC(=O)OC2OC(C(=O)O)C(O)C(O)C2O)=C1,UGT,O-glucuronidation of aliphatic acid,0.72
Clioquinol,OC1=C(I)C=C(Cl)C2=CC=CN=C12,Clioquinol O-glucuronide,O=C(O)C1OC(OC2=C(I)C=C(Cl)C3=CC=CN=C23)C(O)C(O)C1O,UGT,Aromatic -OH glucuronidation,0.48
Quinotolast,O=C1C(C(O)=NC2=NNN=N2)=CC(OC2=CC=CC=C2)=C2C=CC=CN12,Quinotolast N-glucuronide,O=C(N=C1N=NN(OC2OC(C(=O)O)C(O)C(O)C2O)N1)C1=CC(OC2=CC=CC=C2)=C2C=CC=CN2C1=O,UGT,N-glucuronidation,0.53
RG12525,C1=CC=C(C2=NNN=N2)C(COC2=CC=C(OCC3=CC=C4C=CC=CC4=N3)C=C2)=C1,RG12525 N2-glucuronide,O=C(O)C1OC(N2N=NC(C3=CC=CC=C3COC3=CC=C(OCC4=CC=C5C=CC=CC5=[NH+]4)C=C3)=N2)C(O)C(O)C1O,UGT1A1; UGT2B7,N-glucuronidation of azole,0.54
JNJ-10198409,COC1=CC2=C(C=C1OC)C1=C(C2)C(=NC2=CC=CC(F)=C2)NN1,JNJ-10198409 N-glucuronide B,COC1=CC2=C(C=C1OC)C1=C(C2)C(=NC2=CC=CC(F)=C2)NN1C1OC(C(=O)O)C(O)C(O)C1O,UGT1A9,N-glucuronidation of azole,0.67
JNJ-10198409,COC1=CC2=C(C=C1OC)C1=C(C2)C(=NC2=CC=CC(F)=C2)NN1,JNJ-10198409 N-glucuronide C,COC1=CC2=C(C=C1OC)C1=C(C2)C(=[NH+]C2=CC=CC(F)=C2)N(C2OC(C(=O)O)C(O)C([OH2+])C2O)[N-]1,UGT,N-glucuronidation of azole,0.67
JNJ-10198409,COC1=CC2=C(C=C1OC)C1=C(C2)C(=NC2=CC=CC(F)=C2)NN1,JNJ-10198409 N-glucuronide C,COC1=CC2=C(C=C1OC)C1=C(C2)C(N(C2=CC=CC(F)=C2)C2OC(C(=O)O)C(O)C(O)C2O)=NN1,UGT1A4; UGT1A9,N-glucuronidation of azole,0.62
Midazolam,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=CC(Cl)=CC=C3N21,Midazolam N-glucuronide,CC1=[N+](C2OC(C(=O)O)C(O)C(O)C2O)C=C2CN=C(C3=CC=CC=C3F)C3=CC(Cl)=CC=C3N21,UGT1A4,N-glucuronidation of azole,0.7
Afloqualone,CC1=CC=CC=C1N1C(CF)=NC2=CC=C(N)C=C2C1=O,Afloqualone N-glucuronide,CC1=CC=CC=C1N1C(CF)=NC2=CC=C(NC3OC(C(=O)O)C(O)C(O)C3O)C=C2C1=O,UGT1A4,Glucuronidation of primary aromatic amine,0.73
N-Acetylbenzidine,CC(O)=NC1=CC=C(C2=CC=C(N)C=C2)C=C1,"N-Acetylbenzidine, N-glucuronide",CC(O)=NC1=CC=C(C2=CC=C(NC3OC(C(=O)O)C(O)C(O)C3O)C=C2)C=C1,UGT1A1; UGT1A4; UGT1A9,Glucuronidation of primary aromatic amine,0.25
retigabine,CCOC(O)=NC1=CC=C(NCC2=CC=C(F)C=C2)C=C1N,retigabine N2-glucuronide,CCOC(O)=NC1=CC=C(NCC2=CC=C(F)C=C2)C=C1NC1OC(C(=O)O)C(O)C(O)C1O,UGT1A1; UGT1A9,Glucuronidation of primary aromatic amine,0.41
Desmethylclozapine,ClC1=CC=C2NC3=CC=CC=C3C(N3CCNCC3)=NC2=C1,Desmethylclozapine N-glucuronide,O=C(O)C1OC(N2CCN(C3=NC4=CC(Cl)=CC=C4NC4=CC=CC=C34)CC2)C(O)C(O)C1O,UGT1A3,N-glucuronidation,0.68
Desipramine,CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C21,Desipramine N-glucuronide,CN(CCCN1C2=CC=CC=C2CCC2=CC=CC=C21)C1OC(C(=O)O)C(O)C(O)C1O,UGT1A3,N-glucuronidation,0.51
Diphenylamine,C1=CC=C(NC2=CC=CC=C2)C=C1,Diphenylamine N-glucuronide,O=C(O)C1OC(N(C2=CC=CC=C2)C2=CC=CC=C2)C(O)C(O)C1O,UGT1A3,N-glucuronidation,0.1
Promethazine,CC(CN1C2=CC=CC=C2SC2=CC=CC=C21)N(C)C,Promethazine N-glucuronide,CC(CN1C2=CC=CC=C2SC2=CC=CC=C21)[N+](C)(C)C1OC(C(=O)O)C(O)C(O)C1O,UGT1A3,N-glucuronidation of tertiary aliphatic amine,0.52
Diphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,Diphenhydramine N-glucuronide,C[N+](C)(CCOC(C1=CC=CC=C1)C1=CC=CC=C1)C1OC(C(=O)O)C(O)C(O)C1O,UGT1A3,N-glucuronidation of tertiary aliphatic amine,0.28
Loxepine,CN1CCN(C2=NC3=CC=CC=C3OC3=CC=C(Cl)C=C23)CC1,Loxepine N-glucuronide,C[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)CCN(C2=NC3=CC=CC=C3OC3=CC=C(Cl)C=C23)CC1,UGT1A3,N-glucuronidation of tertiary aliphatic amine,0.69
Clozapine,CN1CCN(C2=NC3=CC(Cl)=CC=C3NC3=CC=CC=C23)CC1,Clozapine N-glucuronide,C[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)CCN(C2=NC3=CC(Cl)=CC=C3NC3=CC=CC=C23)CC1,UGT1A3,N-glucuronidation of tertiary aliphatic amine,0.67
Ketotifen,CN1CCC(=C2C3=CC=CC=C3CC(=O)C3=C2C=CS3)CC1,Ketotifen N-glucuronide,C[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)CCC(=C2C3=CC=CC=C3CC(=O)C3=C2C=CS3)CC1,UGT1A3,N-glucuronidation of tertiary aliphatic amine,0.73
Chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC2=CC=C(Cl)C=C21,Chlorpromazine N-glucuronide,C[N+](C)(CCCN1C2=CC=CC=C2SC2=CC=C(Cl)C=C21)C1OC(C(=O)O)C(O)C(O)C1O,UGT1A3,N-glucuronidation of tertiary aliphatic amine,0.57
Doxepin,CN(C)CCC=C1C2=CC=CC=C2COC2=CC=CC=C12,Doxepin N-glucuronide,C[N+](C)(CCC=C1C2=CC=CC=C2COC2=CC=CC=C12)C1OC(C(=O)O)C(O)C(O)C1O,UGT1A3,N-glucuronidation of tertiary aliphatic amine,0.61
Tripelennamine,CN(C)CCN(CC1=CC=CC=C1)C1=CC=CC=N1,Tripelennamine N-glucuronide,C[N+](C)(CCN(CC1=CC=CC=C1)C1=CC=CC=N1)C1OC(C(=O)O)C(O)C(O)C1O,UGT1A3,N-glucuronidation of tertiary aliphatic amine,0.45
Cyproheptadine,CN1CCC(=C2C3=CC=CC=C3C=CC3=CC=CC=C23)CC1,Cyproheptadine N-glucuronide,C[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)CCC(=C2C3=CC=CC=C3C=CC3=CC=CC=C23)CC1,UGT1A3,N-glucuronidation of tertiary aliphatic amine,0.51
Imipramine,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C21,Imipramine N-glucuronide,C[N+](C)(CCCN1C2=CC=CC=C2CCC2=CC=CC=C21)C1OC(C(=O)O)C(O)C(O)C1O,UGT1A3,N-glucuronidation of tertiary aliphatic amine,0.51
Nirvanol,CCC1(C2=CC=CC=C2)N=C(O)N=C1O,Nirvanol N-glucuronide,CCC1(C2=CC=CC=C2)N=C(O)N(C2OC(C(=O)O)C(O)C(O)C2O)C1=O,UGT,N-glucuronidation,0.38
Isonicotinoylhydrazine,NNC(=O)C1=CC=NC=C1,,O=C(NNC1OC(C(=O)O)C(O)C(O)C1O)C1=CC=NC=C1,UGT,O-glucuronidation,0.21
Ketobemidone,CCC(=O)C1(C2=CC=CC(O)=C2)CCN(C)CC1,Ketobemidone O-glucuronide,CCC(=O)C1(C2=CC=CC(OC3OC(C(=O)O)C(O)C(O)C3O)=C2)CCN(C)CC1,UGT,Aromatic -OH glucuronidation,0.49
Ketobemidone,CCC(=O)C1(C2=CC=CC(O)=C2)CCN(C)CC1,Ketobemidone sulfate,CCC(=O)C1(C2=CC=CC(OS(=O)(=O)O)=C2)CCN(C)CC1,SULT,3-OH sulfonation of phenolic compound,0.81
chlorofluoroacetic acid,O=C(O)C(F)Cl,chloroacetyl-S-glutathione,NC(CCC(O)=NC(CSC(Cl)C(=O)O)C(O)=NCC(=O)O)C(=O)O,GST,GSH-conjugation of organohalide,0.05
4-nitrobenzyl chloride,O=[N+]([O-])C1=CC=C(CCl)C=C1,S-(4-Nitrobenzyl)glutathione,NC(CCC(O)=NC(CSCC1=CC=C([N+](=O)[O-])C=C1)C(O)=NCC(=O)O)C(=O)O,GST,GSH-conjugation of organohalide,0.24
4-nitrobenzyl chloride,O=[N+]([O-])C1=CC=C(CCl)C=C1,4-nitrobenzyl-glutathione,NC(CCC(O)=NC(CSCC1=CC=C([N+](=O)[O-])C=C1)C(O)=NCC(=O)O)C(=O)O,GST,GSH-conjugation,0.24
4-nitrobenzyl chloride,O=[N+]([O-])C1=CC=C(CCl)C=C1,"S-(2,4-dinitrophenyl)glutathione",NC(CCC(O)=NC(CSC1=CC=C([N+](=O)[O-])C=C1[N+](=O)[O-])C(O)=NCC(=O)O)C(=O)O,GST,GSH-conjugation,0.16
alachlor,CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl,S-(alachlor)glutathione,CCC1=CC=CC(CC)=C1N(COC)C(=O)CSCC(N=C(O)CCC(N)C(=O)O)C(O)=NCC(=O)O,GST,GSH-conjugation of organohalide,0.55
monochlorobimane,CC1=C(C)N2C(CCl)=C(C)C(=O)N2C1=O,Bimane-glutathione,CC1=C(C)N2C(CSCC(N=C(O)CCC(N)C(=O)O)C(=O)CNC(=O)O)=C(C)C(=O)N2C1=O,GST,GSH-conjugation of organohalide,0.56
aminochrome,O=C1C=C2CCNC2=CC1=O,,NC(CCC(O)=NC(CSC1=C(O)C(O)=CC2=C1NCC2)C(O)=NCC(=O)O)C(=O)O,GST,GSH-conjugation,0.18
Prunetin,COC1=CC(O)=C2C(=O)C(C3=CC=C(O)C=C3)=COC2=C1,,COC1=CC(OC2OC(C(=O)O)C(O)C(O)C2O)=C2C(=O)C(C3=CC=C(O)C=C3)=COC2=C1,UGT1A9,O-glucuronidation,0.61
Indacaterol,CCC1=CC2=C(C=C1CC)CC(NCC(O)C1=CC=C(O)C3=NC(O)=CC=C13)C2,,CCC1=CC2=C(C=C1CC)CC(NCC(OC1OC(C(=O)O)C(O)C(O)C1O)C1=CC=C(O)C3=NC(O)=CC=C13)C2,UGT,O-glucuronidation,0.66
Triiodothyronine,NC(CC1=CC(I)=C(OC2=CC=C(O)C(I)=C2)C(I)=C1)C(=O)O,,NC(CC1=CC(I)=C(OC2=CC=C(OC3OC(C(=O)O)C(O)C(O)C3O)C(I)=C2)C(I)=C1)C(=O)O,UGT,Aromatic -OH glucuronidation,0.48
"3-Hydroxy-2p,3p-dimethoxyflavone",COC1=CC=CC(C2=C(O)C(=O)C3=CC=CC=C3O2)=C1OC,,COC1=CC=CC(C2=C(OC3OC(C(=O)O)C(O)C(O)C3O)C(=O)C3=CC=CC=C3O2)=C1OC,UGT1A9,O-glucuronidation,0.67
"8-aminoisoindolo (1,2-b)quinazolin-12(10H)-one",NC1=CC=C2N=C3C4=CC=CC=C4C(=O)N3CC2=C1,,CC(O)=NC1=CC=C2N=C3C4=CC=CC=C4C(=O)N3CC2=C1,NAT,N-acetylation of arylamine,0.94
Irbesartan M8,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2N=N[N+](C3C(O)C(O)C(O)C(C(=O)O)C3O)=N2)C=C1,UGT,O-glucuronidation,0.63
Perindopril,CCCC(NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)OCC,,CCC(NC(C)C(=O)N1C(C(=O)OC2(C(=O)O)OC(C)C(O)C(O)C2O)CC2CCCCC21)C(=O)O,UGT,O-glucuronidation of aliphatic acid,0.58
Resokaempferol,O=C1C(O)=C(C2=CC=C(O)C=C2)OC2=CC(O)=CC=C12,,O=C(O)C1OC(OC2=CC=C(C3=C(O)C(=O)C4=CC=C(O)C=C4O3)C=C2)C(O)C(O)C1O,UGT1A9,Aromatic -OH glucuronidation,0.64
Cholic acid,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,Cholic acid glucuronide,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC4(C)C3CC(O)C12C,UGT,3-OH glucuronidation of sterol,0.34
7-Hydroxy-beta-thujone,CC1C(=O)CC2(C(C)(C)O)CC12,,CC1C(=O)CC2(C(C)(C)OC3OC(C(=O)O)C(O)C(O)C3O)CC12,UGT,Alkyl-OH glucuronidation,0.43
4-Hydroxy-beta-thujone,CC(C)C12CC(=O)C(C)(O)C1C2,,CC(C)C12CC(=O)C(C)(OC3OC(C(=O)O)C(O)C(O)C3O)C1C2,UGT,Alkyl-OH glucuronidation,0.45
2-iodobenzyl bromide,BrCC1=CC=CC=C1I,,NC(CCC(O)=NC(CSC1=CC=CC=C1CBr)C(O)=NCC(=O)O)C(=O)O,GST,GSH-conjugation,0.12
Hexafluoroisopropanol,OC(C(F)(F)F)C(F)(F)F,,O=C(O)C1OC(OC(C(F)(F)F)C(F)(F)F)C(O)C(O)C1O,UGT,Alkyl-OH glucuronidation,0.1
"2,4-diene-VPA",C=CC=C(CCC)C(=O)O,,C=CC=C(CCC)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O,UGT,O-glucuronidation of aliphatic acid,0.19
"3,7-Dihydroxyfavone",O=C1C(O)=C(C2=CC=CC=C2)OC2=CC(O)=CC=C12,,O=C(O)C1OC(OC2=CC=C3C(=O)C(O)=C(C4=CC=CC=C4)OC3=C2)C(O)C(O)C1O,UGT1A9,Aromatic -OH glucuronidation,0.62
"3,7-Dihydroxyfavone",O=C1C(O)=C(C2=CC=CC=C2)OC2=CC(O)=CC=C12,,O=C(O)C1OC(OC2=C(C3=CC=CC=C3)OC3=CC(O)=CC=C3C2=O)C(O)C(O)C1O,UGT1A9,Aromatic -OH glucuronidation,0.57
Indole-3-acetic-acid,O=C(O)CC1=CNC2=CC=CC=C12,,O=C(CC1=CNC2=CC=CC=C12)OC1OC(C(=O)O)C(O)C(O)C1O,UGT,O-glucuronidation of aliphatic acid,0.47
Paeonol,COC1=CC=C(C(C)=O)C(O)=C1,,COC1=CC=C(C(C)=O)C(OS(=O)(=O)O)=C1,SULT,Aromatic -OH glucuronidation,0.56
8-Hydroxy-7-methoxyisoflavone,COC1=CC(O)=C2OC=C(C3=CC=CC=C3)C(=O)C2=C1,,COC1=CC(OC2OC(C(=O)O)C(O)C(O)C2O)=C2OC=C(C3=CC=CC=C3)C(=O)C2=C1,UGT1A9,O-glucuronidation,0.6
"8,14-diOH-efavirenz",OC1=NC2=C(O)C=C(Cl)C=C2C(C#CC2(O)CC2)(C(F)(F)F)O1,,O=C(O)C1OC(OC2(C#CC3(C(F)(F)F)OC(O)=NC4=C(O)C=C(Cl)C=C43)CC2)C(O)C(O)C1O,UGT,O-glucuronidation,0.83
"4p-hydroxy-2,3p,4-trichlorobiphenyl",OC1=CC=C(C2=CC=C(Cl)C=C2Cl)C=C1Cl,,O=S(=O)(O)OC1=CC=C(C2=CC=C(Cl)C=C2Cl)C=C1Cl,SULT,4-OH sulfonation of phenolic compound,0.66
Hydroxyoxid acid,CC1(C)C2CCC3(C)C(C2)C(C(=O)O)CCC13O,,CC1(C)C2CCC3(C)C(C2)C(C(=O)O)CCC13OC1OC(C(=O)O)C(O)C(O)C1O,UGT,Alkyl-OH glucuronidation,0.38
N-Desmethyl-4-OH- atomoxetine,CC1=CC(O)=CC=C1OC(CCN)C1=CC=CC=C1,,CC1=CC(OC2OC(C(=O)O)C(O)C(O)C2O)=CC=C1OC(CCN)C1=CC=CC=C1,UGT,Aromatic -OH glucuronidation,0.47
cis-6-(2-acetylvinylthio)purine,CC(=O)C=CSC1=NC=NC2=C1N=CN2,,CC([O-])=CC(SCC(N=C(O)CCC(N)C(=O)O)C(O)=NCC(=O)O)SC1=NC=NC2=C1N=CN2,GST,GSH-conjugation,0.4
benzoic acid,O=C(O)C1=CC=CC=C1,,O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1=CC=CC=C1,UGT,O-glucuronidation of aromatic acid,0.14
N-Desmethyl p-hydroxyrosiglitazone,O=C1N=C(O)C(CC2=CC=C(OCCN=C3C=CC(O)=CN3)C=C2)S1,,O=C1N=C(O)C(CC2=CC=C(OCCN=C3C=CC(OS(=O)(=O)O)=CN3)C=C2)S1,SULT,O-sulfonation,0.85
Tizoxanide,O=[N+]([O-])C1=CN=C(N=C(O)C2=CC=CC=C2O)S1,,O=C(O)C1OC(OC2=CC=CC=C2C(O)=NC2=NC=C([N+](=O)[O-])S2)C(O)C(O)C1O,UGT,Aromatic -OH glucuronidation,0.55
epicatechin metabo5,O=C1CCC(CC2=CC=CC(O)=C2)O1,,O=C1CCC(CC2=CC=CC(OC3OC(C(=O)O)C(O)C(O)C3O)=C2)O1,UGT,Aromatic -OH glucuronidation,0.41
carvone metabo6,C=C(C)C1CC=C(C)C(=O)C1O,,C=C(C)C1CC=C(C)C(=O)C1OC1OC(C(=O)O)C(O)C(O)C1O,UGT,Alkyl-OH glucuronidation,0.46
"5,7,2p-Trihydroxyflavone",O=C1C=C(C2=CC=CC=C2O)OC2=CC(O)=CC(O)=C12,,O=C(O)C1OC(OC2=CC(O)=C3C(=O)C=C(C4=CC=CC=C4O)OC3=C2)C(O)C(O)C1O,UGT1A9,Aromatic -OH glucuronidation,0.63
Estradiol acetate,CC(=O)OC1=CC=C2C(=C1)CCC1C2CCC2(C)C(O)CCC12,,CC(=O)OC1=CC=C2C(=C1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12,UGT,17-OH glucuronidation of sterol,0.67
"N-hydroxy-2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine",CN1C(NO)=NC2=NC=C(C3=CC=CC=C3)C=C21,,CN1C(NOC2OC(C(=O)O)C(O)C(O)C2O)=NC2=NC=C(C3=CC=CC=C3)C=C21,"UGT1A1, 1A3, 1A6",Hydroxylamine O-glucuronidation,0.65
"N-hydroxy-2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine",CN1C(NO)=NC2=NC=C(C3=CC=CC=C3)C=C21,,CN1C(NOS(=O)(=O)O)=NC2=NC=C(C3=CC=CC=C3)C=C21,SULT1A1,Hydroxylamine O-sulfonation,0.91
Carboxy celecoxib,NS(=O)(=O)C1=CC=C(N2N=C(C(F)(F)F)C=C2C2=CC=C(C(=O)O)C=C2)C=C1,,NS(=O)(=O)C1=CC=C(N2N=C(C(F)(F)F)C=C2C2=CC=C(C(=O)OC3OC(C(=O)O)C(O)C(O)C3O)C=C2)C=C1,UGT,O-glucuronidation of aromatic acid,0.74
estrone,CC12CCC3C4=CC=C(O)C=C4CCC3C1CCC2=O,,CC12CCC3C4=CC=C(OC5OC(C(=O)O)C(O)C(O)C5O)C=C4CCC3C1CCC2=O,"UGT1A1, 1A3, 1A7,1A8, 1A10",3-OH glucuronidation of sterol,0.55
Carvedilol,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2,,COC1=CC=CC=C1OCCNCC(COC1=CC=CC2=C1C1=CC=CC=C1N2)OC1OC(C(=O)O)C(O)C(O)C1O,UGT,Alkyl-OH glucuronidation,0.6
6-gingerol,CCCCCC(O)CC(=O)CCC1=CC=C(OC)C(O)=C1,,CCCCCC(O)CC(=O)CCC1=CC=C(OC)C(OC2OC(C(=O)O)C(O)C(O)C2O)=C1,UGT,Aromatic -OH glucuronidation,0.38
6-gingerol,CCCCCC(O)CC(=O)CCC1=CC=C(OC)C(O)=C1,,CCCCCC(O)CC(=O)CCC1=CC=C(OC)C(OC2OC(C(=O)O)C(O)C(O)C2O)=C1,UGT,3-OH-glucuronidation of a phenolic compound,0.38
6-gingerol,CCCCCC(O)CC(=O)CCC1=CC=C(OC)C(O)=C1,,CCCCCC(CC(=O)CCC1=CC=C(OC)C(O)=C1)OC1OC(C(=O)O)C(O)C(O)C1O,UGT,O-glucuronidation,0.47
O-Desmethylnaproxen,CC(C(=O)O)C1=CC=C2C=C(O)C=CC2=C1,,CC(C(=O)O)C1=CC=C2C=C(OC3OC(C(=O)O)C(O)C(O)C3O)C=CC2=C1,UGT,Aromatic -OH glucuronidation,0.34
O-Desmethylnaproxen,CC(C(=O)O)C1=CC=C2C=C(O)C=CC2=C1,,CC(C(=O)OC1OC(C(=O)O)C(O)C(O)C1O)C1=CC=C2C=C(O)C=CC2=C1,UGT,O-glucuronidation of aliphatic acid,0.35
O-Desmethylnaproxen,CC(C(=O)O)C1=CC=C2C=C(O)C=CC2=C1,,CC(C(=O)O)C1=CC=C2C=C(OS(=O)(=O)O)C=CC2=C1,SULT1A1; SULT1B1; SULT1E1,O-sulfonation,0.74
O-Desmethylnaproxen,CC(C(=O)O)C1=CC=C2C=C(O)C=CC2=C1,,CC(C(=O)OS(=O)(=O)O)C1=CC=C2C=C(O)C=CC2=C1,SULT1A1; SULT1B1; SULT1E1,O-sulfonation,0.67
4-hydroxycyclopenta[def]chrysene,OC1C2=CC=CC3=CC=C4C5=CC=CC=C5C=C1C4=C23,,O=S(=O)(O)OC1C2=CC=CC3=CC=C4C5=CC=CC=C5C=C1C4=C23,SULT1E1,Sulfation of secondary alcohol,0.69
Rhamnetin,COC1=CC(O)=C2C(=O)C(O)=C(C3=CC=C(O)C(O)=C3)OC2=C1,,COC1=CC(O)=C2C(=O)C(OC3OC(C(=O)O)C(O)C(O)C3O)=C(C3=CC=C(O)C(O)=C3)OC2=C1,UGT1A9,Aromatic -OH glucuronidation,0.66
4-Fluorophenol,OC1=CC=C(F)C=C1,,O=C(O)C1OC(OC2=CC=C(F)C=C2)C(O)C(O)C1O,UGT1A9,Aromatic -OH glucuronidation,0.11
"7,3p-Dihydroxyflavone",O=C1C=C(C2=CC=CC(O)=C2)OC2=CC(O)=CC=C12,,O=C(O)C1OC(OC2=CC=C3C(=O)C=C(C4=CC=CC(O)=C4)OC3=C2)C(O)C(O)C1O,UGT1A9,Aromatic -OH glucuronidation,0.57
Methyl-4-hydroxybenzoate,CCOC(=O)C1=CC=C(O)C=C1,,CCOC(=O)C1=CC=C(OC2OC(C(=O)O)C(O)C(O)C2O)C=C1,UGT1A9,Aromatic -OH glucuronidation,0.26
13-hydroxyoctadecadienoic acid,CCCCCC(O)C=CC=CCCCCCCCC(=O)O,,CCCCCC(C=CC=CCCCCCCCC(=O)O)OC1OC(C(=O)O)C(O)C(O)C1O,UGT,Alkyl-OH glucuronidation,0.21
13-hydroxyoctadecadienoic acid,CCCCCC(O)C=CC=CCCCCCCCC(=O)O,,CCCCCC(O)C=CC=CCCCCCCCC(=O)OC1OC(C(=O)O)C(O)C(O)C1O,UGT,O-glucuronidation of aliphatic acid,0.21
Dihydrodaidzein,O=C1C2=CC=C(O)C=C2OCC1C1=CC=C(O)C=C1,,O=C1C2=CC=C(OC3OC(C(=O)O)C(O)C(O)C3O)C=C2OCC1C1=CC=C(O)C=C1,UGT1A9,Aromatic -OH glucuronidation,0.63
Aminoflavone M-VI,CC1=C(F)C(NO)=C2C(=O)C(O)=C(C3=CC=C(N)C(F)=C3)OC2=C1F,,CC1=C(F)C(NO)=C2C(=O)C(OC3OC(C(=O)O)C(O)C(O)C3O)=C(C3=CC=C(N)C(F)=C3)OC2=C1F,UGT,Aromatic -OH glucuronidation,0.79
Etodolac,CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(=O)O,,CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(=O)OC1OC(C(=O)O)C(O)C(O)C1O,UGT,O-glucuronidation of aliphatic acid,0.82
fenchone metabo3,CC1(C)C(=O)C2(C)CC1CC2O,,CC1(C)C(=O)C2(C)CC1CC2OC1OC(C(=O)O)C(O)C(O)C1O,UGT,Alkyl-OH glucuronidation,0.42
FYX-051,N#CC1=CC(C2=NC(C3=CC=NC=C3)=NN2)=CC=N1,,N#CC1=CC(C2=NN(C3OC(C(=O)O)C(O)C(O)C3O)C(C3=CC=NC=C3)=N2)=CC=N1,UGT1A9,N-glucuronidation of azole,0.32
FYX-051,N#CC1=CC(C2=NC(C3=CC=NC=C3)=NN2)=CC=N1,,[NH+]#CC1=CC(C2=NC(C3=CC=NC=C3)=NN2C2OC(C(=O)O)C(O)C(O)C2O)=CC=N1,UGT1A9,N-glucuronidation,0.32
"3-Hydroxy-7,4p-dimethoxyflavone",COC1=CC=C(C2=C(O)C(=O)C3=CC=C(OC)C=C3O2)C=C1,,COC1=CC=C(C2=C(OC3OC(C(=O)O)C(O)C(O)C3O)C(=O)C3=CC=C(OC)C=C3O2)C=C1,UGT1A9,O-glucuronidation,0.61
10-hydroxycarbazepine,N=C(O)N1C2=CC=CC=C2CC(O)C2=CC=CC=C21,,N=C(O)N1C2=CC=CC=C2CC(OC2OC(C(=O)O)C(O)C(O)C2O)C2=CC=CC=C21,UGT,Alkyl-OH glucuronidation,0.6
O-Desmethyl-2p-OH-Indomethacin phenethylamide,CC1=C(CC(O)=NCC(O)C2=CC=CC=C2)C2=CC(O)=CC=C2N1C(=O)C1=CC=C(Cl)C=C1,,CC1=C(CC(O)=NCC(OC2OC(C(=O)O)C(O)C(O)C2O)C2=CC=CC=C2)C2=CC(O)=CC=C2N1C(=O)C1=CC=C(Cl)C=C1,UGT,O-glucuronidation,0.81
